City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bataipora,-22.2953,-53.2711,295.93,59,5,1.98,BR,1713922951
84,vanino,49.0869,140.2543,285.89,59,100,3.33,RU,1713922686
85,margaret river,-33.95,115.0667,289.99,46,8,6.03,AU,1713922592
86,urzhum,57.1141,49.9996,284.94,90,100,4.9,RU,1713922953
87,rongelap,11.1635,166.8941,300.42,86,100,9.18,MH,1713922633
88,toliara,-23.35,43.6667,294.38,80,3,3.79,MG,1713922730
89,gadzhiyevo,69.2551,33.3362,272.69,96,88,4.79,RU,1713922955
90,bredasdorp,-34.5322,20.0403,288.52,96,100,0.82,ZA,1713922745
91,puerto leguizamo,-0.1934,-74.7819,296.28,99,96,0.99,CO,1713922956
92,port mathurin,-19.6833,63.4167,300.04,77,100,7.38,MU,1713922957
93,brisas de zicatela,15.8369,-97.0419,302.44,65,0,1.03,MX,1713922848
94,noshiro,40.2039,140.0242,292.61,53,100,4.54,JP,1713922957
95,puerto armuelles,8.2833,-82.8667,299.78,86,99,1.52,PA,1713922959
96,chany,55.3121,76.7647,267.47,47,9,5.88,RU,1713922961
97,kananga,-5.8958,22.4178,295.25,91,100,0.12,CD,1713922965
98,mansa,29.9833,75.3833,300.45,22,0,2.23,IN,1713922966
99,djambala,-2.5447,14.7533,294.25,97,100,1.76,CG,1713922967
100,saipan,15.1355,145.701,305.54,62,40,8.75,MP,1713922967
101,mejit,10.2753,170.8646,300.58,85,100,8.61,MH,1713922947
102,cidade velha,14.9167,-23.6167,296.41,73,75,3.6,CV,1713922968
103,saint-pierre,-21.3393,55.4781,296.97,69,0,2.57,RE,1713922970
104,ayame,5.6083,-3.1563,296.77,93,100,0.74,CI,1713922970
105,khanpur mahar,27.8436,69.4137,302.65,16,38,2.14,PK,1713922970
106,aasiaat,68.7098,-52.8699,269.2,98,73,0.76,GL,1713922970
107,manggar,-2.8833,108.2667,300.16,85,100,2.99,ID,1713922970
108,berezovo,63.9381,65.0419,261.09,90,58,2.26,RU,1713922970
109,bafra,41.5678,35.9069,292.43,56,100,3.27,TR,1713922925
110,bilibino,68.0546,166.4372,260.42,76,81,1.93,RU,1713922926
111,xinqing,48.2333,129.5,288.38,57,100,2.51,CN,1713922979
112,iqaluit,63.7506,-68.5145,271.0,74,100,3.09,CA,1713922709
113,morehead city,34.7229,-76.726,289.27,59,0,5.66,US,1713922705
114,roma,43.2128,-75.4557,290.23,36,100,3.09,US,1713922724
115,kingston,17.997,-76.7936,302.68,70,20,3.09,JM,1713922561
116,kozloduy,43.7833,23.7333,282.38,96,93,1.42,BG,1713922982
117,atafu village,-8.5421,-172.5159,302.94,73,7,3.75,TK,1713922985
118,haiku-pauwela,20.9219,-156.3051,299.94,68,20,13.38,US,1713922986
119,saucillo,28.0167,-105.2833,300.4,11,0,3.4,MX,1713922986
120,port douglas,-16.4833,145.4667,299.68,80,100,6.43,AU,1713922986
121,bardai,11.65,7.2333,302.65,41,100,2.68,NG,1713922899
122,challapata,-18.9,-66.7667,286.03,50,0,1.64,BO,1713922986
123,chonchi,-42.6128,-73.8092,283.22,95,100,2.01,CL,1713922988
124,vorgashor,67.5833,63.95,255.78,94,28,1.9,RU,1713922988
125,monticello,45.3055,-93.7941,283.22,71,100,5.14,US,1713922815
126,ust-nera,64.5667,143.2,274.61,97,100,1.83,RU,1713922915
127,vanimo,-2.6741,141.3028,304.22,66,57,2.64,PG,1713922991
128,thinadhoo,0.5333,72.9333,302.25,77,100,6.22,MV,1713922991
129,peebles,55.6519,-3.1888,278.22,100,16,1.52,GB,1713922991
130,bandarbeyla,9.4942,50.8122,301.3,78,48,1.45,SO,1713922991
131,al wakrah,24.85,51.3333,296.2,31,0,4.95,QA,1713922993
132,rawson,-43.3002,-65.1023,282.28,57,1,4.17,AR,1713922749
133,olonkinbyen,70.9221,-8.7187,271.57,74,2,1.6,SJ,1713922993
134,malvan,16.0667,73.4667,301.71,68,4,3.18,IN,1713922993
135,pueblo west,38.35,-104.7227,291.36,31,100,4.92,US,1713922993
136,kargopol',61.5071,38.9456,275.94,96,100,3.0,RU,1713922994
137,west island,-12.1568,96.8225,301.14,83,75,6.69,CC,1713922885
138,vicuna,-30.0319,-70.7081,291.63,52,43,0.56,CL,1713922994
139,shannon,52.7039,-8.8642,278.78,93,20,1.54,IE,1713922995
140,college,64.8569,-147.8028,287.33,38,75,1.54,US,1713922995
141,hermanus,-34.4187,19.2345,286.93,93,100,0.53,ZA,1713922995
142,barah,13.7,30.3667,298.28,11,98,3.43,SD,1713922995
143,novopavlovsk,43.9622,43.6342,284.82,66,30,1.69,RU,1713922997
144,codrington,-38.2667,141.9667,287.5,53,67,7.59,AU,1713922715
